gene_name,pvalue,log2FoldChange,disease,cell_type
MIR100HG,0.003358853,-0.208061696,ALS,iPSMN
FAM3A,0.003381466,-0.086265499,ALS,iPSMN
CUEDC1,0.003394539,-0.12653755,ALS,iPSMN
AC245100.7,0.003395025,0.295955207,ALS,iPSMN
AC011773.4,0.003399021,-0.32664756,ALS,iPSMN
SNORD118,0.003411344,0.781927763,ALS,iPSMN
SLC16A6,0.003417142,0.26592793,ALS,iPSMN
AP003784.1,0.003418703,-0.401800397,ALS,iPSMN
MELTF-AS1,0.003436231,-0.164451539,ALS,iPSMN
SVIL-AS1,0.003438746,0.510901018,ALS,iPSMN
SPRY4-AS1,0.003466233,0.214253866,ALS,iPSMN
FRMPD3,0.003474027,-0.144975775,ALS,iPSMN
TCEAL5,0.003475302,0.329204913,ALS,iPSMN
GADD45G,0.003481423,-0.158696323,ALS,iPSMN
MANSC1,0.00348634,-0.17196286,ALS,iPSMN
TBX20,0.00350964,-0.623730669,ALS,iPSMN
TMF1,0.00351862,0.112299196,ALS,iPSMN
RSPO2,0.003524823,-0.514004896,ALS,iPSMN
STOML3,0.003526334,-0.791906661,ALS,iPSMN
TBC1D9B,0.003554106,-0.085241638,ALS,iPSMN
RIOK2,0.003573199,0.090028116,ALS,iPSMN
BRF2,0.003586115,0.081194907,ALS,iPSMN
ABHD12B,0.00359313,-0.621035479,ALS,iPSMN
SEMA3G,0.003644117,0.437947333,ALS,iPSMN
KLHL20,0.003652676,0.075445999,ALS,iPSMN
GUCY1A2,0.003654214,0.213410023,ALS,iPSMN
CCS,0.003659672,-0.093854291,ALS,iPSMN
DNASE1L1,0.00367709,-0.102076204,ALS,iPSMN
PPHLN1,0.003690484,0.06478824,ALS,iPSMN
TBC1D14,0.003695319,-0.07217276,ALS,iPSMN
SIGIRR,0.003725056,-0.170048977,ALS,iPSMN
AC016876.4,0.003745969,-0.322905059,ALS,iPSMN
MOV10L1,0.00376439,0.577410722,ALS,iPSMN
ABHD4,0.003767659,0.190684814,ALS,iPSMN
BLZF1,0.003774578,0.096128515,ALS,iPSMN
MAGI1,0.003776098,-0.104966596,ALS,iPSMN
GSTM4,0.00379694,-0.206949056,ALS,iPSMN
AC103740.1,0.003809409,-0.639715618,ALS,iPSMN
DCAF12L2,0.003812156,-0.227093964,ALS,iPSMN
HYDIN2,0.003816704,0.343684067,ALS,iPSMN
ZNF614,0.00382345,0.07515794,ALS,iPSMN
AC087641.1,0.003827935,-0.212596847,ALS,iPSMN
KDM7A,0.003863503,0.102897343,ALS,iPSMN
SLC51B,0.003866088,-0.529793766,ALS,iPSMN
STIM2,0.003869013,-0.079253927,ALS,iPSMN
RAB6C-AS1,0.003872096,-0.235735687,ALS,iPSMN
CLEC4A,0.003876329,0.370672465,ALS,iPSMN
AL158801.6,0.00388255,-0.653169859,ALS,iPSMN
AL356966.1,0.003887748,0.358919398,ALS,iPSMN
ST6GALNAC5,0.003933853,-0.246210597,ALS,iPSMN
DZANK1,0.003937274,-0.089154097,ALS,iPSMN
SLC14A1,0.00393764,-1.008716085,ALS,iPSMN
ALK,0.003939203,-0.255102951,ALS,iPSMN
NHEJ1,0.003955948,0.077138563,ALS,iPSMN
PURPL,0.003956857,0.416205782,ALS,iPSMN
TBR1,0.003967358,-0.649791436,ALS,iPSMN
ZNF212,0.003969248,0.079603251,ALS,iPSMN
ACAN,0.00398866,0.433974868,ALS,iPSMN
CALHM5,0.004003612,-0.395482776,ALS,iPSMN
FAM201A,0.004042827,0.348083581,ALS,iPSMN
SNHG16,0.004060943,0.111486644,ALS,iPSMN
EOGT,0.004084429,0.201337724,ALS,iPSMN
EPB41L3,0.004129563,-0.16221065,ALS,iPSMN
AC124852.1,0.004139646,0.615964617,ALS,iPSMN
AC018545.1,0.004149637,0.626612855,ALS,iPSMN
AC016588.2,0.004162245,0.146925966,ALS,iPSMN
HOXA10-AS,0.004163118,-0.582935943,ALS,iPSMN
SLC10A5,0.004186867,0.154130197,ALS,iPSMN
HLA-B,0.004207752,0.24239013,ALS,iPSMN
FPGS,0.004225759,-0.10571838,ALS,iPSMN
AC139149.1,0.004234263,-0.209589363,ALS,iPSMN
CIT,0.004239113,-0.254498886,ALS,iPSMN
C4B,0.004271051,-0.32010219,ALS,iPSMN
AC011466.1,0.004320757,0.427990921,ALS,iPSMN
SBSN,0.00433283,0.336158687,ALS,iPSMN
SH3GLB2,0.004341038,-0.109409337,ALS,iPSMN
